customerid,age,gender,category,orderdate,shipdate,deliverytimedays,latedeliveryflag,unitprice,quantity,discountpercent,revenue,profit,totalordersbycustomer,customerlifetimevalue,campaignname,adspend,shippingprovider,highriskcustomerflag,shippingcost,paymentmethod,customersegment,returned,devicetype,orderstatus,warehouselocation,acquisitionchannel,productcostinr,grossmargininr,couponcodeused,calculated_profit,order_year,order_month,order_day,order_weekday,profit_margin_percent,,,,,,,,
CUST01633,39,Male,Electronics,14-05-2024,23-05-2024,9,Yes,4737.05,5,0,23685.25,8332.094644,41,220027.1841,Festive Sale,199.63,Delhivery,No,115.97,Upi,Loyal,No,Tablet,Delivered,Ahmedabad Wh,Facebook Ads,2122.450199,1435.728398,No,21562.7998,2024,5,14,Tuesday,35.17841122,,Unknown,0,,Electronics,3709,,CUST01633
CUST03070,52,Male,Sports,22-11-2022,03-12-2022,11,Yes,3598.36,2,0,7196.72,1316.83423,35,22244.53399,Clearance,441.09,Delhivery,No,100.07,Net Banking,Returning,Yes,Desktop,Returned,Delhi Wh,Email,7203.779039,3360.430076,No,-7.059039,2022,11,22,Tuesday,18.29769992,,Other,0,,Sports,1896,,CUST03070
CUST03260,36,Female,Health,05-03-2023,17-03-2023,12,Yes,3821.64,2,5,7261.116,1682.897751,22,48131.01315,New Year Blast,0,Ecomexpress,No,232.31,Debit Card,Unknown,No,Mobile,Cancelled,Mumbai Wh,Organic,19084.31755,2784.286181,Yes,-11823.20155,2023,3,5,Sunday,23.17684707,,Female,5889,,Unknown,0,,CUST03260
CUST03512,60,Female,Sports,23-03-2023,29-03-2023,6,No,3653.33,1,0,3653.33,882.3331387,2,8599.959552,Clearance,352.45,Indiapost,No,299.75,Upi,At Risk,No,Tablet,Delivered,Ahmedabad Wh,Google Ads,3265.674942,571.4141054,No,387.655058,2023,3,23,Thursday,24.15147656,,Male,8812,,Toys,1784,,CUST03512
CUST00166,43,Female,Toys,11-06-2024,18-06-2024,7,Yes,4183.18,5,0,20915.9,8359.770932,8,74684.61105,Summer Bonanza,0,Bluedart,No,129.04,Cash On Delivery,Loyal,Yes,Unknown,Delivered,Mumbai Wh,Referral,5585.145782,2267.271183,No,15330.75422,2024,6,11,Tuesday,39.96849733,,,,,Beauty,1783,,CUST00166
CUST02853,24,Male,Electronics,23-06-2022,24-06-2022,1,No,693.57,6,15,3537.207,669.5546402,25,10677.236,New Year Blast,604.95,Ecomexpress,Yes,55.22,Cash On Delivery,Loyal,Yes,Tablet,Delivered,Ahmedabad Wh,Facebook Ads,19883.83488,427.9682033,Yes,-16346.62788,2022,6,23,Thursday,18.92890747,,,,,Clothing,1790,,CUST02853
CUST03550,34,Female,Electronics,21-06-2023,01-07-2023,10,Yes,3407.09,2,5,6473.471,2128.646372,33,18694.15548,Clearance,149.32,Indiapost,No,152.08,Upi,Returning,Yes,Tablet,Delivered,Ahmedabad Wh,Facebook Ads,9716.285483,4274.327045,Yes,-3242.814483,2023,6,21,Wednesday,32.88261231,,,,,Home,1897,,CUST03550
CUST03858,25,Male,Beauty,05-11-2023,10-11-2023,5,No,5092.04,3,5,14512.314,2774.273789,15,78743.96351,No Campaign,0,Delhivery,No,43.56,Credit Card,Unknown,No,Unknown,Shipped,Ahmedabad Wh,Google Ads,5392.453112,624.8477182,Yes,9119.860888,2023,11,5,Sunday,19.116688,,,,,,,,CUST03858
CUST03348,21,Female,Electronics,07-11-2022,14-11-2022,7,No,2002.66,4,0,8010.64,3004.03859,37,22334.52309,Clearance,0,Not Assigned,No,38.63,Cash On Delivery,At Risk,Yes,Mobile,Delivered,Bangalore Wh,Email,12395.6015,2409.361728,No,-4384.9615,2022,11,7,Monday,37.50060657,,,,,,,,CUST03348
CUST03636,59,Female,Electronics,08-10-2023,18-10-2023,10,Yes,5329.6,5,20,21318.4,9977.85028,24,59051.8327,New Year Blast,308.64,Not Assigned,Yes,241.38,Cash On Delivery,Returning,No,Mobile,Cancelled,Bangalore Wh,Google Ads,8833.438901,2601.27155,Yes,12484.9611,2023,10,8,Sunday,46.80393594,,,,,,,,CUST03636
CUST02530,49,Female,Health,17-09-2023,20-09-2023,3,No,4200.75,5,10,18903.375,4327.315959,27,33036.67563,Clearance,287.29,Indiapost,No,211.34,Upi,Returning,Yes,Unknown,Delivered,Ahmedabad Wh,Email,17194.5009,2697.618734,Yes,1708.8741,2023,9,17,Sunday,22.89176382,,,,,,,,CUST02530
CUST00381,49,Female,Clothing,27-03-2022,08-04-2022,12,Yes,3350.94,2,20,5361.504,2103.298216,14,46830.24886,Festive Sale,0,Not Assigned,Yes,88.13,Credit Card,At Risk,No,Mobile,Returned,Ahmedabad Wh,Facebook Ads,357.9870387,3084.859081,Yes,5003.516961,2022,3,27,Sunday,39.22963064,,,,,,,,CUST00381
CUST01352,55,Female,Sports,08-02-2023,14-02-2023,6,No,5379.41,3,0,16138.23,5868.171371,8,88407.9658,Clearance,138.47,Delhivery,No,47.23,Unknown,Returning,No,Unknown,Shipped,Ahmedabad Wh,Email,19936.17685,3537.753862,No,-3797.94685,2023,2,8,Wednesday,36.36192675,,,,,,,,CUST01352
CUST01055,39,Female,Sports,11-12-2022,13-12-2022,2,No,3475.53,2,15,5908.401,2628.746297,37,17093.33347,Festive Sale,481.65,Ecomexpress,No,91.58,Unknown,Returning,Yes,Desktop,Delivered,Ahmedabad Wh,Email,1512.986339,121.3542325,Yes,4395.414661,2022,12,11,Sunday,44.49167037,,,,,,,,CUST01055
CUST03185,43,Female,Electronics,08-06-2023,20-06-2023,12,Yes,2871.34,2,15,4881.278,1485.04527,26,30738.72544,Festive Sale,0,Delhivery,Yes,56.79,Debit Card,New,No,Unknown,Delivered,Delhi Wh,Email,10835.04899,251.4804002,Yes,-5953.77099,2023,6,8,Thursday,30.42328812,,,,,,,,CUST03185
CUST02460,45,Male,Beauty,30-12-2022,04-01-2023,5,No,4988.36,3,20,11972.064,5839.234607,39,43110.31884,Summer Bonanza,0,Bluedart,No,85.5,Credit Card,New,Yes,Unknown,Delivered,Delhi Wh,Email,14008.5198,3096.60184,Yes,-2036.4558,2022,12,30,Friday,48.77383388,,,,,,,,CUST02460
CUST03376,33,Female,Home,20-06-2022,25-06-2022,5,No,411.66,4,0,1646.64,140.5628566,24,7977.163159,Festive Sale,545.16,Indiapost,No,142.18,Debit Card,Returning,Yes,Mobile,Delivered,Delhi Wh,Organic,11086.63797,992.4960138,No,-9439.99797,2022,6,20,Monday,8.536344107,,,,,,,,CUST03376
CUST01633,40,Female,Electronics,21-02-2023,26-02-2023,5,No,1901.56,3,5,5419.446,1179.444458,28,29988.03235,New Year Blast,0,Delhivery,Yes,219.38,Cash On Delivery,Loyal,Yes,Desktop,Delivered,Bangalore Wh,Organic,6155.320431,4176.041059,Yes,-735.874431,2023,2,21,Tuesday,21.76319236,,,,,,,,CUST03138
CUST03138,52,Female,Toys,30-07-2022,01-08-2022,2,No,3398.05,5,5,16140.7375,5423.719682,24,79499.54338,New Year Blast,0,Delhivery,No,291.42,Debit Card,At Risk,No,Mobile,Delivered,Mumbai Wh,Organic,17137.56883,3174.80708,Yes,-996.83133,2022,7,30,Saturday,33.60267573,,,,,,,,CUST02829
CUST02829,32,Male,Sports,08-08-2024,15-08-2024,7,No,4876.38,1,0,4876.38,961.1596237,40,31883.22079,Clearance,532.04,Delhivery,No,181.46,Unknown,New,Yes,Tablet,Delivered,Ahmedabad Wh,Organic,8722.376009,4903.963571,No,-3845.996009,2024,8,8,Thursday,19.71051525,,,,,,,,CUST00490
CUST00490,28,Male,Beauty,20-03-2022,30-03-2022,10,Yes,5617.89,2,0,11235.78,4010.766015,3,72139.68017,Clearance,0,Bluedart,No,247.74,Net Banking,At Risk,No,Unknown,Delivered,Delhi Wh,Google Ads,6153.886574,3667.221023,No,5081.893426,2022,3,20,Sunday,35.69637368,,,,,,,,CUST01154
CUST01154,64,Male,Clothing,04-04-2023,07-04-2023,3,No,4880.81,6,20,23427.888,5356.674824,47,221242.011,Festive Sale,620.05,Ecomexpress,No,99.54,Unknown,Unknown,No,Unknown,Delivered,Delhi Wh,Referral,15413.00728,544.5006207,Yes,8014.88072,2023,4,4,Tuesday,22.86452293,,,,,,,,CUST00541
CUST00541,63,Male,Beauty,17-11-2024,25-11-2024,8,No,5238.8,1,5,4976.86,1023.432775,47,12044.98446,Festive Sale,0,Indiapost,No,69.67,Debit Card,Loyal,No,Desktop,Delivered,Delhi Wh,Email,3087.946186,937.7821185,Yes,1888.913814,2024,11,17,Sunday,20.56382488,,,,,,,,CUST03462
CUST03462,24,Male,Clothing,11-06-2022,23-06-2022,12,Yes,4435.64,6,15,22621.764,6529.749452,31,137706.6938,No Campaign,0,Delhivery,Yes,108.92,Debit Card,Loyal,Yes,Unknown,Delivered,Ahmedabad Wh,Google Ads,4259.179163,328.0895966,Yes,18362.58484,2022,6,11,Saturday,28.86489954,,,,,,,,CUST03592
CUST03592,31,Male,Health,03-12-2022,13-12-2022,10,Yes,902.68,6,0,5416.08,1305.629801,9,44621.39896,Festive Sale,620.27,Indiapost,No,138.04,Net Banking,Unknown,Yes,Tablet,Delivered,Ahmedabad Wh,Organic,5204.841366,3731.761742,No,211.238634,2022,12,3,Saturday,24.10654571,,,,,,,,CUST03430
CUST03430,62,Female,Sports,25-02-2024,27-02-2024,2,No,4134.2,6,0,24805.2,7046.369881,22,226345.4215,Summer Bonanza,354.33,Bluedart,Yes,64.47,Cash On Delivery,New,No,Tablet,Cancelled,Mumbai Wh,Email,8810.643355,721.4340964,No,15994.55665,2024,2,25,Sunday,28.40682551,,,,,,,,CUST00003
CUST00003,47,Female,Home,27-08-2022,30-08-2022,3,No,1140.09,1,5,1083.0855,307.0659753,40,4123.940871,Summer Bonanza,630.04,Bluedart,No,189.09,Unknown,Unknown,Yes,Desktop,Delivered,Bangalore Wh,Referral,602.6588778,3352.460718,Yes,480.4266222,2022,8,27,Saturday,28.35103741,,,,,,,,CUST00202
CUST00202,54,Female,Clothing,09-09-2023,18-09-2023,9,No,5255.21,6,0,31531.26,13793.07721,21,168735.9209,Clearance,0,Not Assigned,No,253.45,Cash On Delivery,New,Yes,Unknown,Delivered,Mumbai Wh,Email,19837.15791,2821.448947,No,11694.10209,2023,9,9,Saturday,43.74413585,,,,,,,,CUST01399
